first_name,last_name,birth_date,address,job,province,sex
Jeffrey,Dunn,1947-04-14,3372 Peter Pines Suite 668,Podo-orthésiste,Saskatchewan,M
Oretta,Mazza,1968-09-05,282 Patton Island Apt. 618,Marin de commerce,Saskatchewan,M
Léon,Peron,1998-09-27,0223 Anthony Island,Chargé d'études économiques,Nova Scotia,M
Thibaut,Poirier,1989-04-27,71708 Contreras Causeway,Éducateur,Nunavut,M
Fortunata,Mariani,1979-08-02,39130 Michael Key,Médecin généraliste,New Brunswick,M
Ivano,Neri,1951-11-22,1157 Allison Crossroad Suite 628,Machiniste constructeur ou plateau,Manitoba,M
Julien,Fouquet,1943-09-09,666 Cheryl Cliffs Suite 960,Administrateur de biens,Nova Scotia,M
Amos,Romano,1958-11-15,32394 Tracy Isle,Éclairagiste,Quebec,M
Emmanuel,Berger,1997-10-22,94804 Harrison Plaza,Directeur de restaurant,Alberta,M
Rémy,Ledoux,1977-02-11,221 John Ridges Apt. 032,Ingénieur,Prince Edward Island,M
Zacharie,Dumont,1977-06-27,5093 Miller Via,Illustrateur,Nova Scotia,M
Luke,Williams,1970-08-25,69748 Kristin Junctions Apt. 850,Ingénieur procédés en chimie,New Brunswick,M
Timothy,Clark,1973-05-26,6122 Cassandra Parkway Suite 396,Administrateur de base de données,British Columbia,M
Xavier,Da Silva,1974-06-01,1469 Michael Parkways Apt. 865,Consultant en solutions intégrées,Ontario,M
Gerald,Bailey,1982-09-05,463 Blair Isle,Directeur de restaurant,Yukon Territory,M
Pierre,Gosselin,1982-08-20,372 Rachael Pine,Machiniste constructeur ou plateau,Nova Scotia,M
Stéphane,Roux,1959-03-11,96540 Charles Pike Apt. 681,Responsable du service après-vente,Nova Scotia,M
John,Bailey,1942-01-11,688 Watts Passage Suite 628,Juriste droit de l'environnement,Nova Scotia,M
Elsa,Parisi,1958-12-10,73265 Jones Union,Chargé d'études économiques,British Columbia,M
Eric,Fuentes,1946-12-05,29435 Wilson Burgs Suite 192,Collaborateur de notaire,Quebec,M
Lucas,Maury,1951-04-09,4127 Davis Squares Suite 321,Ingénieur gaz,Nunavut,M
Rafael,Alemany,1973-11-11,15918 Brian Plains Suite 584,Commerçant en alimentation,Nova Scotia,M
Eugène,Perrin,1948-12-11,61058 Taylor View,Moniteur d'équitation,Alberta,M
Martin,Adams,1962-04-11,73612 Daniel Forges,Maître  d'hôtel,Saskatchewan,M
Joseph,Lacroix,1996-10-04,18616 Adams Points,Inspecteur de banque,Nova Scotia,M
Vicente,Baeza,1978-01-13,62534 Yoder Radial,Médiateur,Ontario,M
Denis,Deschamps,1943-02-14,77793 Barrett Prairie,Directeur artistique,Nova Scotia,M
Benoît,Marechal,1965-11-16,9017 Smith Parkways Apt. 665,Sous-officier de l'armée de terre,Prince Edward Island,M
Gregorio,Donoso,1989-12-21,064 Cook Tunnel,Technicien en traitement des déchets,New Brunswick,M
Benjamin,Tucker,1958-10-28,563 Pennington Village,Directeur d'agence bancaire,Prince Edward Island,M
Gilles,Alves,1956-05-13,46452 Kelly Common Suite 302,Graphiste,Ontario,M
Alfred,Raynaud,1948-07-25,144 Martinez Row Apt. 407,Palefrenier,Ontario,M
Luc,Leclercq,1976-09-07,4420 Sanchez Villages Apt. 427,Archiviste,New Brunswick,M
Denis,Allard,1977-10-11,976 Thomas Mill Apt. 182,Formulateur,New Brunswick,M
Matthieu,Carlier,1955-07-21,18807 Kevin Highway,Traducteur-interprète,New Brunswick,M
André,Hebert,1991-12-24,644 Cooper Stravenue Apt. 108,Administrateur de réseau,British Columbia,M
Jason,Lewis,1974-09-29,4620 Barry Dam Apt. 426,Ambulancier,Quebec,M
Michael,Rose,1986-09-18,9446 Jackson Squares Apt. 151,Magistrat,Alberta,M
Robert,King,1983-06-20,25269 Jones Stream Suite 249,Agronome,Ontario,M
Raymond,Arnaud,1996-10-11,127 Theresa Fields Apt. 941,Neurobiologiste,Quebec,M
Ronnie,Webb,1982-04-04,41567 Webster Shore Suite 540,Chef d'exploitation d'usine d'incinération,Northwest Territories,M
Jeffery,Mcdaniel,1982-04-11,0418 Bonnie Fort Suite 606,Cordiste,New Brunswick,M
Michel,Besson,1973-11-10,157 Farmer Lane Apt. 211,Administrateur de logiciels de laboratoire,Northwest Territories,M
Patrick,Samson,1977-05-27,3955 Wilkinson Unions,Ingénieur en production et expérimentations végétales,Saskatchewan,M
Joseph,Kirk,1969-11-28,834 Morgan Hills Apt. 417,Chef monteur,New Brunswick,M
Michael,Graham,1979-07-12,813 Giles Loop,Juge des enfants,New Brunswick,M
Cira,Montanari,1992-10-25,49933 Peterson Flats Suite 980,Ingénieur environnement et risques industriels,Saskatchewan,M
Christopher,Frank,1988-02-11,83090 Stewart Tunnel,Ingénieur en métrologie,New Brunswick,M
Jose Antonio,Pinto,1949-05-21,98874 Karen Stream Suite 742,Chercheur en biologie du sport,Alberta,M
Benjamin,Le Roux,1949-09-03,8600 Lopez Fork Apt. 660,Dépanneur en électroménager,New Brunswick,M
Anthony,Davis,1996-05-24,0897 Cooper Forges Apt. 041,Façonnier des industries graphiques,Quebec,M
Sean,Mitchell,2000-08-03,8498 Lopez Villages Apt. 110,Directeur de création,Saskatchewan,M
Antonio,Espada,1998-05-06,273 Thomas Trail Apt. 445,Vitrailliste,New Brunswick,M
Mietta,Gallo,1965-09-14,96769 Hobbs Hill,Technicien de police technique et scientifique,Quebec,M
René,Boucher,1959-01-06,59640 Henry Curve Apt. 841,Mécanicien bateaux,New Brunswick,M
Enrique,Company,1950-02-04,224 Jamie Brook Apt. 403,Conducteur,Prince Edward Island,M
Robert,Moulin,1991-02-08,48369 Jackson Mountains,Secrétaire,Manitoba,M
David,Le Goff,1985-10-09,3698 Tonya Tunnel,Qualiticien,Prince Edward Island,M
Adam,Kaiser,1955-03-15,891 Villarreal Lodge Apt. 003,Accompagnateur de moyenne montagne,Alberta,M
Kevin,Manning,1996-07-19,0696 Charles Walks,Contrôleur de gestion,Quebec,M
Richard,Techer,1969-09-21,519 Sparks Crest,Coordonnateur d'études cliniques,Yukon Territory,M
Rufo,Pellegrini,1969-07-06,75738 Joseph Station Suite 712,Conseiller en économie sociale et familiale,Yukon Territory,M
John,Evans,1967-03-24,3690 Adrian Lakes Apt. 238,Responsable biométrie,Manitoba,M
Alphonse,Gillet,2000-02-02,92604 Diana Rest Apt. 088,Contrôleur technique automobile,Nova Scotia,M
Jason,Marsh,1984-04-02,720 Gates Oval,Juriste d'entreprise,Northwest Territories,M
Shane,Petersen,1945-11-25,056 Scott Station,Technicien en optique de précision,Newfoundland and Labrador,M
Thomas,Letellier,1952-12-05,6387 Donna Rapids Suite 072,Chef de produit touristique,British Columbia,M
Jose Antonio,Olivares,1990-02-11,9870 Hannah Ferry,Inspecteur,Northwest Territories,M
Levi,Rogers,1952-03-04,3327 Smith Drive,Soudeur,New Brunswick,M
Raul,Nuñez,1962-09-18,745 Valerie Shores Apt. 576,Directeur d'office de tourisme,Nova Scotia,M
Timothée,Hamel,1940-09-30,933 Bryan Underpass,Spécialiste des affaires réglementaires en chimie,Nova Scotia,M
Pierre,Perez,1978-04-05,5882 Hensley Squares,Animateur 2D et 3D,Northwest Territories,M
Amos,Conte,1965-06-30,3095 Joan Mountains,Attaché d'administration,Northwest Territories,M
Ulrico,Bruno,1952-04-28,314 Hernandez Motorway,Technicien de forge,Nunavut,M
Philippe,Francois,1997-09-22,45589 Brian Crossing Apt. 302,Ingénieur cloud computing,Alberta,M
Brian,Norris,1966-05-08,842 Bailey Prairie Apt. 331,Géologue minier,Quebec,M
Gilles,Moreau,1963-03-10,80734 Carol Crescent,Déclarant en douane,Yukon Territory,M
Victor,Love,1989-11-09,263 Danielle Light,Administrateur de logiciels de laboratoire,Yukon Territory,M
Gilles,Picard,1992-11-05,942 Chavez Court,Accompagnateur de moyenne montagne,Nunavut,M
Jacques,Cordier,1992-03-31,0549 Sarah Harbor Apt. 501,Archéologue,New Brunswick,M
Pierre,Allain,1994-10-12,523 William Crossing,Vendeur-conseil en matériel agricole,Northwest Territories,M
Nathan,Bellini,1958-03-19,9086 Stacy Center,Chef de mission humanitaire,Saskatchewan,M
Rémy,Dias,1972-11-10,34086 Veronica Corner,Grutier,Newfoundland and Labrador,M
Philip,Green,1974-10-08,108 Nichols Square Apt. 598,Responsable de réseau eau potable,British Columbia,M
André,Joly,1975-12-25,871 Brandon Valley,Ingénieur production en mécanique,Quebec,M
Bradley,Moore,1946-09-22,2785 Cooley Square,Vendeur en animalerie,Nova Scotia,M
Peter,Rosales,1984-06-14,1281 Rickey Lake,Directeur d'agence bancaire,Ontario,M
Richard,Bourgeois,1986-01-28,7461 Matthew Well,Conseiller en séjours,Northwest Territories,M
William,Letellier,1977-01-19,72016 Madeline Mill Apt. 380,Vendeur-conseil en matériel agricole,Ontario,M
Teseo,Valentini,1956-10-24,55485 Zachary Canyon,Sociologue,Northwest Territories,M
Thomas,Bruneau,1972-12-19,78389 David Oval Apt. 986,Géotechnicien,Saskatchewan,M
Théodore,Denis,2000-03-03,706 Carmen Orchard,Conseiller d'insertion et de probation,British Columbia,M
Miguel,Lastra,1954-09-02,4958 Gabriel Parkways Apt. 461,Conseiller agricole,Ontario,M
Zacharie,Pasquier,1951-09-10,164 Johnson Pike,Éducateur,Ontario,M
Richard,Lejeune,1942-04-19,815 Jonathan Inlet Suite 510,Médiateur,Nova Scotia,M
Michael,Lynn,1959-03-22,992 Chavez Orchard Apt. 211,Juriste d'entreprise,Northwest Territories,M
Nathan,Ross,1944-12-08,344 Pollard Gardens Apt. 894,Credit manager,New Brunswick,M
Luke,Flores,1951-05-27,4362 Steve Forks,Chef de projet biodiversité,New Brunswick,M
Jules,Boucher,1963-06-27,7834 Rodriguez Terrace Apt. 356,Costumier,Saskatchewan,M
Tristan,Fournier,1969-05-05,9587 Hunter Pines Suite 650,Architecte réseau,Yukon Territory,M
Ryan,Miller,1949-01-07,31652 Amber Coves Apt. 987,Directeur,New Brunswick,M
Santiago,Cañete,1942-03-28,02164 Baxter Station Apt. 563,Auteur interprète,New Brunswick,M
Jose Luis,Bermejo,1954-10-17,713 Linda Road,Directeur de magasin à grande surface,New Brunswick,M
Diamante,Ferretti,1995-02-19,6911 Carrie Oval,Musicien,Alberta,M
Thierry,Techer,1990-12-15,1232 Kristin Roads,Chef de fabrication des industries graphiques,New Brunswick,M
Jose Antonio,Campillo,1973-03-29,8113 Angela Drive Suite 151,"Lad-jockey, lad-driver",Northwest Territories,M
Chad,Browning,1985-08-26,9269 Victor Mountain Apt. 032,"Lad-jockey, lad-driver",Saskatchewan,M
Sébastien,Aubert,1959-09-10,89792 David Junctions,Adjoint,Northwest Territories,M
Denis,Guillou,1966-11-22,3277 Gilbert Manor,Astrophysicien,New Brunswick,M
Daniel,Marechal,1988-09-08,0350 Christopher Gardens Suite 325,Bijoutier,New Brunswick,M
Martin,Moreno,1960-01-13,869 Tran Camp Suite 135,Médiateur,Quebec,M
Rodolfo,Ferrari,1967-05-16,857 Medina Junction,Linguiste,Northwest Territories,M
Marc,Legros,1969-09-01,8175 Horton Crescent Suite 290,Technicien d'exploitation de l'eau,Prince Edward Island,M
Nathan,Conrad,1973-07-18,536 Matthews Hollow,Juriste en propriété intellectuelle,New Brunswick,M
Guy,Bailly,1955-09-25,121 Turner Falls Suite 694,Consultant,Quebec,M
Santiago,Fernández,1981-08-15,7740 Gabrielle Pike,Régisseur cinéma,Nunavut,M
Benjamin,Simon,1963-05-26,8266 Jodi Union,Consultant en solutions intégrées,Saskatchewan,M
Stéphane,Guilbert,1947-02-24,941 Sara Alley Apt. 712,Mécanicien,Nova Scotia,M
Benjamin,Diaz,1962-08-19,639 Johnson Fields,Animateur de bassin versant,New Brunswick,M
Joseph,Guyot,1970-04-16,496 Raymond Squares Suite 331,Archéologue,Saskatchewan,M
Michael,Stephens,1979-07-01,951 Valerie Groves Suite 570,Responsable de la collecte des déchets ménagers,Northwest Territories,M
Michael,Farina,1943-03-04,815 Benjamin Glens Suite 771,Électricien,Manitoba,M
Christian,Maynard,1945-02-16,991 Laura Key,Sociologue,Manitoba,M
Penelope,Bellini,2000-06-15,28676 Cole Manor,Attaché,Prince Edward Island,M
Frédéric,Marchal,1987-06-06,65106 Cindy Isle Suite 897,Militaire technicien,Ontario,M
Gabriel,Leger,1988-11-09,78732 Derek Harbor Apt. 954,Conseiller agricole,Ontario,M
Jacob,Smith,1959-01-09,42793 Castro Radial Apt. 170,Courtier,New Brunswick,M
David,Paul,1967-12-23,274 Rodriguez Streets Apt. 717,Régisseur cinéma,Saskatchewan,M
David,Hale,1945-03-19,60327 Lucero Causeway Suite 354,Maçon,Newfoundland and Labrador,M
Ethan,Blair,1973-09-18,92538 Caldwell Canyon Apt. 602,Contrôleur technique automobile,Newfoundland and Labrador,M
Troy,Jones,1994-10-04,3962 Lopez Groves,Maroquinier,New Brunswick,M
Emmanuel,Sauvage,1982-08-02,707 Louis Mission Suite 675,Décolleteur,New Brunswick,M
Alexandre,Perret,1948-03-03,305 Patel Manors Suite 272,Anatomiste,New Brunswick,M
Justin,Green,1965-12-24,898 David Burgs,Ingénieur en production et expérimentations végétales,Newfoundland and Labrador,M
Timothy,Sanchez,1943-10-19,600 Samantha Path,Contrôleur technique automobile,Manitoba,M
Genziana,Russo,1957-10-09,9141 Seth Turnpike,Décolleteur,Nunavut,M
Gonzalo,Vicente,1946-06-18,91249 Costa Mount Apt. 639,Chargé d'études en marketing,Newfoundland and Labrador,M
Julien,Lebon,1965-06-04,1159 Matthew Highway Apt. 188,Anatomiste,Manitoba,M
Éric,Thomas,1989-06-13,11966 Linda Mountain Suite 297,Designer d'interaction,New Brunswick,M
Luc,Begue,1977-07-23,826 Vincent Mount,Antiquaire,British Columbia,M
Michel,Mary,1974-02-26,716 Jennifer Valley,Orthoptiste,Nunavut,M
Robert,Joubert,1964-08-02,954 Kyle Villages Suite 758,Ingénieur systèmes embarqués,Yukon Territory,M
John,Hubbard,1992-07-16,2743 Amber Alley,Toiletteur d'animaux,Nova Scotia,M
Daniel,Payne,1999-04-15,0686 Martin Gateway Apt. 686,Formulateur,British Columbia,M
Jose Carlos,Valdés,1966-05-30,723 Flores Corners Suite 776,Expert en sécurité informatique,Manitoba,M
Jose Ramon,Verdugo,1963-02-09,2323 Martin Road,Ingénieur nucléaire,Newfoundland and Labrador,M
Carlos,Cobos,1946-11-27,4544 Colton Summit,Mandataire judiciaire,Ontario,M
Aitor,Bartolomé,1961-04-09,0139 Alexander River Suite 666,Commerçant en alimentation,Manitoba,M
Gregory,Le,1965-03-11,05334 Nicholas Parkway Suite 248,Aide médico-psychologique,New Brunswick,M
Étienne,Durand,1992-01-22,050 Bryan Street,Chef des ventes,Nunavut,M
Ruben,Gibert,1994-05-12,22416 Molly Course Apt. 086,Préparateur en pharmacie,Nunavut,M
Maurice,Chevallier,1986-09-15,9788 Vaughan Knoll,Ingénieur,Northwest Territories,M
Carlos,Mariño,1944-12-14,7875 Dunn Garden Suite 658,Hydrologue,British Columbia,M
Antoine,Guyot,1951-05-13,7210 Ashley Way Apt. 710,Greffier,New Brunswick,M
Charles,Brun,1996-01-24,472 Holland View,Conducteur d'engins de travaux publics,Manitoba,M
Daniel,Sanchez,1960-07-07,274 Gordon Walk,Biologiste médical,Quebec,M
Arthur,Chevallier,1980-09-05,089 Samantha Shoal Suite 513,Concepteur multimédia,Nunavut,M
Jose Luis,Pablo,1995-12-14,4140 Miller Hollow Apt. 119,Responsable du soutien logistique intégré,Quebec,M
Jesús,Martí,1949-05-12,3752 Bradley Flat,Responsable biométrie,New Brunswick,M
Charles,Smith,1980-08-17,314 Billy Mountains,Élagueur,Alberta,M
Antonio,Arnal,1964-01-05,8013 Keith Radial,Consultant green IT,Northwest Territories,M
Robert,Payet,1991-04-20,2739 Smith Extensions Suite 051,Conseiller en séjours,Prince Edward Island,M
Richard,Hamon,1978-09-26,16194 Dominguez Pine,Conducteur,Newfoundland and Labrador,M
Raul,Seguí,1978-12-29,6371 Alvarez Plains,Sapeur,New Brunswick,M
Richard,Carpentier,1960-01-29,4778 Rebecca Springs Suite 229,Ingénieur d'application,New Brunswick,M
Benjamin,Bonneau,1957-02-20,3682 Miller Grove,Chef de cultures légumières,Nova Scotia,M
Eugène,Ferreira,1999-02-12,683 Roach Crest Apt. 326,Credit manager,Ontario,M
Stephen,Ray,1965-11-07,4419 Lucero Hollow Apt. 894,Horloger,Nunavut,M
Thibaut,Gonzalez,1980-11-25,592 George Isle Suite 706,Barman ,Nova Scotia,M
Michael,Zhang,1978-06-20,4562 Jennifer Prairie Suite 037,Façonnier des industries graphiques,Northwest Territories,M
Gérard,Leroy,1999-09-14,9479 Soto Islands,Charcutier,New Brunswick,M
Matthew,Kelley,1951-03-18,9391 Bryan Shoals Apt. 635,Cordonnier,Quebec,M
James,Mitchell,1975-12-21,37922 Justin Field Suite 158,Conducteur de machines à papier ,Yukon Territory,M
Lucas,Neveu,1969-02-06,5094 Moody Terrace Suite 022,Agent de sécurité,New Brunswick,M
Andre,Ellis,1956-02-17,8243 Cooley Loaf Apt. 315,Maraîcher,Northwest Territories,M
Roy,Warren,1988-02-12,378 Amanda Parks,Technicien d'analyses biomédicales,Nunavut,M
Vincent,Perrin,1954-10-04,7583 Thompson Spur Apt. 743,Juriste droit de l'environnement,Nova Scotia,M
Ronald,Duncan,1990-06-23,242 Cynthia Station Suite 601,Ingénieur production en mécanique,Nunavut,M
Jacques,Legros,1994-04-09,88334 Vaughn Cliff Suite 191,Scripte,Yukon Territory,M
Quasimodo,Costa,1954-10-15,5215 Chandler Flats Apt. 904,Apiculteur,Newfoundland and Labrador,M
Mark,Hall,1973-09-16,946 Katrina Rapid,Technicien d'exploitation du réseau gaz,New Brunswick,M
Bernard,Guibert,1975-10-03,61167 Joshua Street,Conducteur de ligne de production alimentaire,Yukon Territory,M
Alphonse,Menard,1974-05-03,47494 Diana Burg,Météorologiste,New Brunswick,M
Daniel,David,1944-06-26,298 Bailey Dam,Souscripteur,Prince Edward Island,M
Aaron,White,1943-03-24,92521 Deborah Manor,Vendeur en animalerie,Yukon Territory,M
Timothée,Roger,1980-04-01,23905 Shannon Stravenue,Salesman,Nunavut,M
Augustin,Da Costa,1974-06-18,393 Joseph Spur,Hot liner,Quebec,M
Auguste,Mace,1960-06-16,0665 Rivas Ways Suite 698,Professeur de collège et de lycée,Nova Scotia,M
Thibaut,Blin,1948-11-22,5148 Wesley Pass,Gestionnaire de portefeuille,Manitoba,M
Dante,Bernardi,1964-07-17,065 Long Land,Géologue minier,New Brunswick,M
Alphonse,Bailly,1976-01-16,84530 Mitchell Trace Suite 576,Architecte réseau,Saskatchewan,M
Eugène,Fleury,1978-07-12,89209 Roberts Mission,Technicien nucléaire,Newfoundland and Labrador,M
André,Ramos,1962-06-05,543 David Burgs,Ostéopathe,Yukon Territory,M
Georges,Auger,1961-08-27,52532 Eric Forges,Ingénieur en automatisme,New Brunswick,M
Julien,Joseph,1983-03-29,6613 Lee Highway,Orfèvre,Nova Scotia,M
Vincent,Cousin,2000-05-19,6209 Robertson Shore Suite 416,Facteur,Newfoundland and Labrador,M
Kevin,Price,1969-01-27,1110 Krystal Forges,Pharmacien dans l'industrie,Alberta,M
Eugène,Lefebvre,1989-09-23,5645 Vasquez Vista Suite 062,Agent de sécurité,Saskatchewan,M
Théophile,Jean,1994-10-27,809 Brittany Neck,Ingénieur en aéronautique,Quebec,M
Timothée,Sauvage,1959-05-13,2798 Perkins Common Suite 415,Océanologue,British Columbia,M
Samuel,Heath,1969-12-01,555 Moore Dam,Chef de rayon,Newfoundland and Labrador,M
Patrick,Lecoq,1951-05-03,799 Kidd Coves,Technicien chimiste,Nunavut,M
Matthieu,Marin,1982-07-10,11740 Savage Manor Suite 517,Auditeur interne,Nunavut,M
James,Thompson,1956-03-22,988 Sandra Centers Apt. 954,Juriste en propriété intellectuelle,Northwest Territories,M
Ronald,Williams,1992-12-01,135 Blake Way Suite 999,Charpentier métallique,New Brunswick,M
Robert,Mitchell,1941-05-11,70151 Pratt Rest,Toiletteur d'animaux,Prince Edward Island,M
Marcel,Delattre,1954-09-10,14579 Brown Mountain Apt. 171,Pilote de ligne,Prince Edward Island,M
Richard,Trevino,1984-11-16,76870 Molly Valley Suite 102,Juriste en propriété intellectuelle,New Brunswick,M
Michel,Cousin,1945-03-06,7391 Clark Club,Journaliste,Northwest Territories,M
Danny,Marchetti,1941-11-10,9952 Joshua Village,Chargé d'études média,Ontario,M
Gianriccardo,Lombardi,1991-04-21,41211 Clay Points,Consultant,Quebec,M
Tristan,Rossi,1977-08-06,47725 Clark Junctions,Responsable de réseau eau potable,Nova Scotia,M
René,Weber,1973-05-25,302 Hobbs Mews,Avocat,Alberta,M
