cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
1120.34,5510656215203044,Discover,06/18,12
1190.92,30449443427631,Voyager,03/24,12
750.69,4720085557360,VISA 13 digit,06/20,12
670.98,5469385969636404,American Express,08/18,1
700.19,346052100278120,JCB 16 digit,03/24,12
720.36,4652768653069,Mastercard,12/19,12
800.56,630453640827,Diners Club / Carte Blanche,03/25,12
780.7,6011033775827319,VISA 16 digit,09/19,12
970.5,375729843646663,Discover,11/22,12
730.57,6011430850389860,Discover,09/18,12
1170.11,372709249218047,VISA 13 digit,11/18,12
1090.33,349242661017986,Maestro,04/20,12
960.47,4886200945912977,Discover,11/18,12
760.45,4897064539653448,JCB 16 digit,10/20,12
680.93,4808496279383,VISA 16 digit,08/19,12
690.49,3337295416648784,JCB 16 digit,08/19,1
740.68,4465656211688,VISA 16 digit,07/20,12
831.0,4208558236307780,JCB 15 digit,10/19,12
1110.43,30490891418128,JCB 16 digit,09/19,12
1200.41,869935333821749,American Express,05/23,1
950.78,30120720918002,JCB 16 digit,07/19,1
850.27,4574610127532,Mastercard,11/19,12
1000.49,377769472255756,JCB 16 digit,01/18,12
970.55,630432901563,VISA 13 digit,01/19,12
1170.46,180031428800368,JCB 16 digit,12/20,1
980.78,4783421711108731,Voyager,01/19,12
1190.82,4447981582934,Mastercard,07/21,1
800.95,4165408024770040,JCB 16 digit,10/23,12
1110.75,6011238980725659,VISA 16 digit,03/21,12
840.58,4440032403945,Diners Club / Carte Blanche,01/23,1
1140.13,5501279471860661,Mastercard,11/19,12
1100.89,4335918971710,VISA 16 digit,07/19,12
1020.74,4956091195453050,JCB 16 digit,03/24,12
870.43,4198697422110715,American Express,11/23,12
1040.62,371056967142368,VISA 13 digit,06/22,12
1090.71,5451964308837194,Mastercard,06/21,1
840.09,6011573112015490,Diners Club / Carte Blanche,11/18,12
870.05,6011163645899113,Diners Club / Carte Blanche,02/22,1
950.25,4423100007988,Diners Club / Carte Blanche,01/24,12
880.77,30204613579996,JCB 16 digit,03/19,12
900.16,4119751324470,JCB 15 digit,12/21,12
1170.06,4359086449482973,Mastercard,06/19,12
770.07,30495422157178,JCB 16 digit,09/22,12
1200.13,5390006803403157,Voyager,05/25,12
740.07,4625667559208114,VISA 16 digit,11/19,12
1090.85,3528127551920141,VISA 13 digit,02/18,12
1000.91,4124467106419,VISA 16 digit,08/19,12
900.04,3112255078203337,American Express,09/19,12
670.01,30470705918737,VISA 16 digit,01/18,12
870.14,5306292673786771,Voyager,10/18,1
790.53,4090413686803303,Discover,02/23,12
1200.37,3158717642252152,JCB 16 digit,05/20,12
1110.22,3158295582366241,VISA 16 digit,10/21,12
860.89,4308703848185419,VISA 16 digit,02/18,12
650.6,502037445843,Maestro,09/20,12
1080.4,210029905021932,Diners Club / Carte Blanche,06/18,12
660.78,210058118456189,VISA 13 digit,08/22,1
710.33,5109400528210207,American Express,01/25,12
730.77,4669839768237039,Diners Club / Carte Blanche,05/27,12
610.37,4146111377993326,VISA 16 digit,03/19,1
720.18,4553262515428836,Maestro,06/18,12
830.78,4431838594322483,American Express,10/21,12
950.08,060480457088,JCB 16 digit,05/18,12
1060.33,347462779274384,JCB 15 digit,02/19,12
1040.54,348016677538404,Maestro,09/20,12
810.37,4843411429391,Diners Club / Carte Blanche,10/18,12
730.41,5107137419417184,Maestro,11/19,12
860.0,4559515525871681,Mastercard,07/19,12
1200.93,4664916527866871,Discover,08/23,1
1020.58,4547035427243678,VISA 16 digit,03/23,12
610.22,4132224640246392,Mastercard,03/18,12
740.64,4325383637112848,American Express,12/19,12
1090.02,180062489462970,VISA 16 digit,06/19,12
1050.47,5462378864201918,VISA 13 digit,09/25,12
770.64,6011523268999955,VISA 13 digit,05/20,12
760.01,3112173210229013,JCB 15 digit,07/19,1
1030.77,4289242305644405,JCB 15 digit,09/23,12
920.21,4371473886884859,VISA 16 digit,03/19,12
640.74,6011986527871614,VISA 16 digit,11/19,1
930.67,3337239944234543,VISA 16 digit,12/18,12
880.99,6011743566785803,JCB 16 digit,11/18,12
980.66,6011748290810124,JCB 15 digit,05/21,12
970.3,4894097998325382,Voyager,07/24,12
1090.76,3158770666592862,American Express,10/20,12
600.87,348069388478576,Diners Club / Carte Blanche,08/19,12
790.78,30268521373511,VISA 16 digit,05/20,12
980.24,676145553514,VISA 13 digit,05/21,12
850.71,30556932019065,VISA 13 digit,06/25,12
1040.91,6011387922288019,JCB 16 digit,05/18,12
780.45,3096450309661243,American Express,05/24,12
800.74,3337153850768438,Discover,09/18,12
840.63,639051533086,VISA 13 digit,04/21,12
860.14,3158768232649752,Maestro,10/20,12
740.91,3337213780419369,VISA 16 digit,09/20,12
920.81,3528852433832004,American Express,10/22,12
960.88,3112690118629598,VISA 13 digit,07/18,12
860.78,30298640353896,Discover,01/21,12
890.01,6011026082079772,JCB 16 digit,04/22,1
870.53,4590824503912,JCB 16 digit,02/19,12
920.12,869978434759129,JCB 15 digit,03/19,12
890.99,4336548949581859,American Express,09/18,12
710.31,4930303527618925,Discover,05/21,12
1000.04,4186632226717021,JCB 15 digit,08/19,12
790.26,4051212958556,JCB 16 digit,02/18,12
940.04,4534305114138,VISA 16 digit,11/25,12
910.88,4637040911726437,Discover,07/20,1
740.79,3096134902624051,VISA 13 digit,05/22,1
1060.39,210035997507456,Diners Club / Carte Blanche,05/18,12
1020.29,4320207959972494,Voyager,01/19,12
1110.4,561208828567,Maestro,12/19,12
780.63,5596133968512317,VISA 16 digit,04/23,12
730.44,4083126560510443,Voyager,01/19,12
630.67,3337627923699001,JCB 15 digit,12/21,1
850.79,4532161631623823,JCB 16 digit,02/18,12
1120.77,6011933119471635,Voyager,09/20,12
700.83,4659179700116,American Express,05/19,12
820.04,3096589857541388,JCB 16 digit,03/18,12
740.84,869991011317930,VISA 16 digit,08/18,12
760.33,4626648056503,VISA 13 digit,01/18,1
1060.25,4931634591422615,Mastercard,05/22,1
1020.69,30307552397419,JCB 16 digit,12/19,1
610.48,5195156135091878,Maestro,03/18,1
660.7,3096053750662338,JCB 16 digit,09/19,12
780.27,4883230203783,American Express,12/21,12
960.81,30079023593591,JCB 16 digit,12/21,12
850.19,4103636656942,Voyager,09/24,1
890.41,4403805991454,VISA 16 digit,09/19,12
1180.95,180070543773977,VISA 13 digit,12/18,12
650.94,561204601992,Diners Club / Carte Blanche,11/18,1
760.74,377518950928156,Voyager,09/24,12
1060.81,6011413069070950,Diners Club / Carte Blanche,01/18,12
950.43,869952078641026,VISA 13 digit,01/19,12
1160.94,869935941803857,Voyager,01/22,12
950.26,4508344432909,American Express,02/21,12
870.17,376148375756551,JCB 15 digit,04/18,12
890.85,30095436901346,American Express,12/22,12
660.46,869950978859417,JCB 16 digit,01/18,12
900.8,4787985221975,VISA 16 digit,04/18,12
780.12,30550325748265,American Express,06/18,12
610.35,3528857225950906,VISA 13 digit,08/18,12
800.27,4955773649315,JCB 15 digit,05/21,12
1120.53,4476226427785199,VISA 16 digit,08/18,12
1040.26,180031131501741,Voyager,02/18,12
930.91,3528294522725742,VISA 16 digit,01/18,12
700.64,3096575810945329,JCB 16 digit,09/25,12
800.08,4572961725606324,Maestro,01/22,12
600.85,561298267734,Maestro,08/27,12
980.06,502060366239,JCB 15 digit,11/22,12
1050.89,869977359133922,Diners Club / Carte Blanche,02/18,12
840.27,5378049085170447,VISA 16 digit,06/19,12
610.05,5536507830724668,JCB 16 digit,10/18,12
890.14,4937507073499075,Mastercard,03/18,12
1170.41,3096527980049275,VISA 13 digit,08/19,12
730.01,4872136749604368,VISA 13 digit,03/23,12
700.17,30493333902188,JCB 16 digit,12/22,12
980.31,4874632936096,Mastercard,01/20,12
690.16,5463028496158494,VISA 16 digit,08/19,12
1120.05,3528778763625827,JCB 16 digit,04/19,12
620.17,639093246135,American Express,04/23,12
950.96,4965265358128530,VISA 13 digit,12/20,12
760.31,6011403760564831,Discover,03/24,12
870.73,869920955926596,VISA 13 digit,05/19,1
1030.44,3096619206470524,VISA 16 digit,10/21,12
980.34,869941963554824,VISA 13 digit,01/18,12
800.95,4461130524192,Discover,10/20,12
630.26,630431778186,JCB 16 digit,09/20,12
880.55,4266680198545196,JCB 15 digit,12/27,1
820.09,4475499949019261,VISA 16 digit,05/19,12
800.26,210045227652519,VISA 13 digit,08/21,12
1100.92,869969955773573,VISA 16 digit,10/21,1
640.03,3528573111971860,VISA 16 digit,10/24,12
1150.78,4170455096051364,Maestro,05/18,12
980.74,6011783507109119,Voyager,02/18,12
1040.15,346557582621266,Maestro,06/22,12
820.37,4580166065820390,Mastercard,08/18,12
870.13,3528508819270611,Discover,04/20,12
990.42,30069745493386,JCB 16 digit,04/26,12
750.68,4978370218367,JCB 16 digit,02/23,12
890.43,4020250413981498,JCB 15 digit,10/18,12
1000.8,30228663446087,JCB 16 digit,12/21,1
1030.47,374318636257341,Voyager,09/21,12
800.15,3096654385954410,JCB 16 digit,12/24,12
860.58,4953390319317222,Mastercard,05/25,1
820.14,6011891274982897,American Express,10/19,12
1070.64,3088507603604839,VISA 13 digit,04/18,1
1030.3,4877576951900480,VISA 16 digit,11/21,12
930.04,180087474433868,Maestro,07/18,12
1200.8,4915286194795,VISA 16 digit,05/18,12
1000.19,210052287766627,VISA 16 digit,03/19,12
820.19,869905210524252,JCB 16 digit,03/23,1
690.22,060430418008,American Express,03/18,1
870.28,4437705707527080,VISA 16 digit,10/18,12
1170.96,4517365949957257,Mastercard,07/18,12
1060.4,4201458768651548,Maestro,01/20,1
980.59,6011935485096573,Discover,04/18,12
790.36,180091166778879,Maestro,01/21,12
910.76,343233797132803,VISA 16 digit,11/18,1
610.87,502016293297,JCB 16 digit,05/24,12
620.55,501886066569,Mastercard,12/22,12
1000.41,4635311976604583,VISA 16 digit,02/21,12
780.44,30418389714518,Voyager,07/19,1
710.3,4533357677240,Maestro,08/20,1
780.61,30299017036866,American Express,01/19,12
1010.81,3096702334892536,VISA 16 digit,01/26,12
1120.82,344572366612508,JCB 16 digit,03/18,12
1140.56,5391584053696943,Discover,01/18,12
940.3,869928390668210,Diners Club / Carte Blanche,09/18,12
880.97,3337206109968462,Diners Club / Carte Blanche,02/20,1
910.01,4342795227711,JCB 15 digit,07/18,12
860.46,060456975105,JCB 16 digit,08/21,12
660.51,210029156611415,Diners Club / Carte Blanche,04/20,12
870.55,372274721830835,Discover,07/18,1
750.34,4120820529271,Mastercard,04/18,12
880.96,869997420633619,Voyager,03/21,1
710.68,6011045309532652,VISA 16 digit,04/18,12
600.29,6011819677683937,Mastercard,06/21,12
640.28,4595840199716863,Mastercard,05/18,12
600.07,5532232271464427,Diners Club / Carte Blanche,12/18,1
1190.5,30015210227809,Discover,07/20,12
950.11,6011594611425709,Maestro,04/23,12
950.25,5468015570834350,JCB 16 digit,08/19,12
610.38,4139823636458334,JCB 16 digit,08/20,12
870.14,4433590188508955,JCB 16 digit,10/20,12
610.71,4666338788198803,Discover,03/22,12
670.35,4393820047095,JCB 16 digit,03/24,12
1040.05,3158269113861806,Discover,01/19,12
780.16,6011498545966129,American Express,01/25,12
710.21,3528476050438463,Discover,06/19,12
620.86,869930460602772,Diners Club / Carte Blanche,05/18,12
920.49,180064810655843,VISA 16 digit,09/20,12
850.53,4511798901583156,Diners Club / Carte Blanche,07/18,12
1000.3,180094127389307,JCB 16 digit,10/20,1
800.53,6011697901072170,Discover,12/18,1
1200.45,5439165486669048,Diners Club / Carte Blanche,08/26,12
810.03,344756211996915,JCB 15 digit,09/21,1
1150.88,4196940220661766,Mastercard,03/21,1
750.44,5342647794078182,JCB 15 digit,08/18,12
1010.35,376627009622255,VISA 16 digit,07/22,12
1070.69,3528730052585006,JCB 16 digit,08/22,12
1060.9,4836939981885,American Express,11/18,12
1070.31,639081022001,Maestro,06/18,12
790.6,4899046834574625,Voyager,12/19,12
820.59,4172422930472,VISA 16 digit,09/18,1
970.3,3528511502873881,VISA 16 digit,04/24,12
830.86,869926754407407,Voyager,09/18,1
1170.75,869920947320262,JCB 15 digit,04/26,12
880.61,3528620965656228,VISA 16 digit,12/18,1
910.81,3088424987290153,Mastercard,08/19,12
1170.93,30353173773083,JCB 16 digit,05/18,1
1090.65,340318321190212,VISA 13 digit,09/21,12
1070.6,3112036261786001,JCB 16 digit,11/22,12
940.78,210040696014671,Voyager,04/19,12
730.89,869934614493013,American Express,04/18,12
1030.39,869961491166446,Maestro,10/20,12
740.26,4104171049113,Diners Club / Carte Blanche,06/19,1
1000.21,349663202698234,American Express,01/20,12
791.0,375086218665780,VISA 16 digit,09/23,12
700.97,3096490001946880,Diners Club / Carte Blanche,07/18,12
1030.4,6011120659193494,Discover,12/22,12
890.21,869975442782663,Mastercard,04/24,12
1170.72,30327139611017,VISA 13 digit,12/18,12
670.63,4642179043752425,VISA 16 digit,05/18,1
890.72,374896832102627,JCB 16 digit,11/22,12
770.49,6011113254016285,VISA 13 digit,04/18,12
840.77,4070908676790059,American Express,02/19,12
690.27,869902084436507,Mastercard,11/18,12
1180.11,4759177835490,VISA 16 digit,08/20,12
1180.63,4020442950026833,American Express,03/23,12
850.92,869950963549924,Mastercard,08/21,12
1010.38,30261383957653,JCB 16 digit,08/18,12
1150.77,6011817290054726,VISA 13 digit,03/22,12
740.08,4201247249183647,VISA 13 digit,01/27,12
1100.95,377763311963811,JCB 15 digit,04/20,12
750.68,373896060160629,Discover,05/19,12
960.17,372654644837498,JCB 15 digit,10/22,12
790.06,501820312392,JCB 16 digit,02/23,12
800.68,4632039869227799,American Express,05/19,12
780.23,3112104441149720,Voyager,01/19,12
740.91,30371529150459,VISA 13 digit,02/18,1
710.57,4961490689428,JCB 16 digit,07/18,1
720.97,4428952133159838,JCB 16 digit,12/25,12
1070.03,4753963645494,Voyager,11/22,12
710.71,3112279432153913,JCB 16 digit,04/19,12
1010.08,869958705129699,Diners Club / Carte Blanche,04/19,12
850.13,676354309244,JCB 16 digit,07/22,1
860.74,3158326912923466,JCB 16 digit,08/19,12
640.14,4607259554856444,Maestro,05/24,12
1080.55,210058052242447,VISA 16 digit,03/25,12
1190.79,561214326770,Diners Club / Carte Blanche,04/19,12
620.92,4731209850986089,Maestro,09/19,12
800.7,3528631293250329,JCB 16 digit,07/21,12
970.3,869976068496000,JCB 16 digit,09/24,12
680.39,340897882605262,JCB 16 digit,11/18,12
1120.08,4175374103808,Discover,08/22,12
1120.2,6011422004140109,VISA 16 digit,11/21,12
1080.04,869909918305634,Diners Club / Carte Blanche,05/26,12
910.9,869977858593816,Discover,06/22,12
800.68,3528022899090477,VISA 16 digit,05/22,12
620.37,210025152225416,Discover,12/18,12
620.78,210076579119625,Diners Club / Carte Blanche,05/19,12
880.62,374435478780824,American Express,03/19,1
1170.9,4236742034701701,Diners Club / Carte Blanche,08/24,12
840.66,6011907063692750,Diners Club / Carte Blanche,11/21,12
600.33,869905537250508,American Express,10/18,12
940.76,869990654185950,Voyager,02/20,1
760.86,378371297247214,Diners Club / Carte Blanche,02/18,12
1050.65,30030826108046,Mastercard,10/19,12
1170.66,4997559769478381,Mastercard,05/18,12
610.34,869993872513490,VISA 16 digit,05/18,12
1090.87,4802918566458704,JCB 16 digit,07/19,12
1150.16,4449125860753348,Voyager,08/21,1
1100.67,5185080026141075,Diners Club / Carte Blanche,02/21,12
830.9,4201474594553,Voyager,12/20,1
1070.39,3337768285813036,JCB 15 digit,04/23,12
1190.76,30023481818975,Diners Club / Carte Blanche,06/21,12
740.11,561253654942,JCB 16 digit,06/20,1
610.09,6011526613567153,Maestro,06/22,1
840.9,4175425178769691,Voyager,11/19,12
980.3,4137652653920104,VISA 13 digit,08/26,12
830.47,3337650595378670,Maestro,02/26,1
700.88,5522277938182088,VISA 16 digit,09/18,12
730.74,3112334075146458,Mastercard,02/25,1
880.38,561233457945,Diners Club / Carte Blanche,12/19,12
690.15,30070968460474,Maestro,05/22,12
1140.74,30465324987964,VISA 16 digit,12/21,12
970.66,180020618029953,Mastercard,06/20,12
1000.02,5395483954642005,Diners Club / Carte Blanche,06/20,12
650.06,30440992798266,American Express,05/19,12
1020.4,210016737609869,VISA 16 digit,01/19,12
1110.3,341270527311457,Voyager,05/19,12
1120.71,4255385535610512,Diners Club / Carte Blanche,05/19,12
610.59,589373840430,Maestro,10/26,12
1110.77,373898258469309,Maestro,10/26,12
700.23,4516116852047540,Mastercard,04/18,12
1200.65,869987406790871,JCB 16 digit,06/20,12
970.38,4504576972043,Discover,08/18,12
620.59,374176395585652,Mastercard,02/20,12
640.21,344174596583482,Voyager,07/19,12
1080.5,639027407829,VISA 16 digit,02/19,12
980.92,4252849671759899,VISA 16 digit,04/21,12
820.3,372409983857395,Maestro,01/22,12
690.68,180098887195424,VISA 16 digit,02/23,1
1030.74,4173424956457,JCB 16 digit,05/18,1
890.92,676385809055,Diners Club / Carte Blanche,12/25,12
940.01,4706134046596850,Mastercard,09/21,1
770.25,4493077117482,Voyager,05/20,1
680.2,4912387257076,JCB 15 digit,03/20,12
1040.69,343709974448989,Mastercard,12/19,12
800.78,4267114716161707,Maestro,02/18,12
1190.38,676283537006,VISA 13 digit,08/19,1
660.86,3088288745883058,American Express,03/20,12
630.44,30300844195394,Maestro,06/18,12
1020.43,869979133934815,VISA 16 digit,11/18,12
640.02,6011793786082838,VISA 16 digit,10/19,12
1040.82,210072622226996,JCB 16 digit,08/22,12
770.89,343710662735018,JCB 16 digit,08/21,1
830.5,4630728453081925,VISA 16 digit,04/22,12
1010.13,589362886006,JCB 15 digit,03/19,12
930.65,371646935548165,Mastercard,12/25,12
950.67,3528344675227945,VISA 16 digit,03/19,12
1070.89,30327397725855,Diners Club / Carte Blanche,09/18,12
1010.25,210081585634294,American Express,06/23,12
710.06,3112143944255337,VISA 16 digit,02/19,12
630.35,4420069448138,Maestro,07/20,12
810.73,3096662935777850,Mastercard,03/25,1
1190.6,4689090821352,Voyager,05/18,12
730.04,30109711033343,American Express,10/18,12
1060.1,503889815729,VISA 16 digit,10/19,1
830.43,869949899986051,Mastercard,07/18,1
830.28,589348987977,VISA 16 digit,07/22,1
660.39,6011104555867443,Diners Club / Carte Blanche,12/20,12
740.79,3112809456015240,VISA 16 digit,09/22,12
660.97,372261898635337,VISA 16 digit,02/18,12
850.83,30105038774718,American Express,06/19,1
630.88,3337467109625003,American Express,03/19,12
690.23,4342576879128,VISA 16 digit,12/24,12
1000.56,30457159583430,JCB 16 digit,11/21,1
610.31,4898868885576477,JCB 16 digit,09/23,12
880.59,869990568932984,VISA 16 digit,02/21,1
710.85,869992750844092,Diners Club / Carte Blanche,08/22,12
1140.29,4100767552037629,Diners Club / Carte Blanche,05/21,12
1200.43,5533553876507289,Discover,03/22,12
1150.67,869964279608670,JCB 16 digit,11/19,12
1110.5,3088732035817193,VISA 16 digit,09/21,12
920.45,5156652883551987,Voyager,02/19,12
980.46,4126618799488358,Voyager,12/21,12
920.6,4468765806893,American Express,06/23,12
660.93,6011062015261963,VISA 13 digit,06/18,12
940.15,4002140795013618,Discover,07/20,12
1170.86,4478865709255666,VISA 13 digit,12/18,12
840.93,180049189694572,Discover,08/19,12
1150.8,869902619485342,American Express,08/22,12
1130.53,378343107419895,VISA 16 digit,07/24,12
740.15,30191329333596,VISA 13 digit,05/19,12
920.7,503847985572,JCB 16 digit,11/23,12
1110.21,180074778843588,VISA 16 digit,08/18,12
980.79,3112297830198587,VISA 16 digit,05/19,12
930.2,3528640042618298,JCB 16 digit,02/20,12
1170.53,3112187719108213,American Express,04/23,12
630.28,210025767847174,American Express,05/19,12
1150.27,4758785269837,Voyager,10/18,1
870.02,30232380748882,Maestro,03/18,12
760.32,348002542276917,American Express,05/18,12
1150.19,4916107567778152,JCB 16 digit,01/21,1
980.63,4454556760522700,JCB 16 digit,11/18,12
1130.51,5109595980621575,JCB 15 digit,02/19,1
1010.32,4656789109242898,VISA 16 digit,06/18,12
1150.49,346135904446264,JCB 16 digit,02/20,12
770.41,180015126831395,Discover,11/18,12
910.4,5594129184249553,VISA 16 digit,03/19,12
800.63,6011811617230291,Discover,05/18,1
1190.69,180074848448327,JCB 15 digit,12/22,1
840.79,4688342458936298,Discover,05/19,12
770.94,869923315893597,VISA 16 digit,04/23,12
650.66,3096390470917778,JCB 16 digit,04/22,12
670.75,374120514562473,American Express,12/20,12
1180.68,4208338706588,Maestro,11/21,12
830.69,3096567819382364,JCB 16 digit,12/18,12
990.68,30320619329341,Discover,01/21,12
820.81,502020771858,Voyager,06/21,12
1120.42,6011622416441785,Mastercard,08/21,12
950.36,4217648770196985,VISA 16 digit,02/22,12
770.25,377788840962745,VISA 13 digit,11/18,12
1160.97,502026031588,Discover,01/21,12
1000.46,373880903368169,Mastercard,06/18,1
670.83,180019694164635,American Express,04/20,12
1200.61,869927119145666,VISA 13 digit,11/24,12
880.27,5398375918913133,JCB 16 digit,04/19,1
610.57,210096779227622,American Express,05/22,12
